Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2,RMSE($),MAPE_thr(%),RMSE_thr($),Pass
MG95,LightGBM,60,12.4454,20.4288,12.5123,13.1065,-0.2958,20.4288,,2.0,False
MG95,LSTM,60,15.4875,27.637,14.7858,17.9182,-1.3213,27.637,,2.0,False
MG95,iTransformer,60,16.0737,27.3623,15.7833,17.2676,-1.2754,27.3623,,2.0,False
MG95,GUMNet-Lite,60,14.3895,26.7456,13.5191,16.3188,-1.174,26.7456,,2.0,False
MG95,GUMNet-Ultra,60,11.4503,21.2237,10.8524,12.0994,-0.369,21.2237,,2.0,False
MG92,ARIMAX,1,0.957,1.9849,1.0059,1.003,0.9854,1.9849,3.0,2.0,True
MG92,SARIMA,1,1.4796,2.8648,1.5881,1.5886,0.9695,2.8648,3.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,1,1.0169,2.3949,1.0382,1.0383,0.9787,2.3949,3.0,2.0,False
MG92,Ridge (Linear),1,1.4097,2.6109,1.5111,1.5199,0.9746,2.6109,3.0,2.0,False
MG92,LightGBM,1,2.2203,3.291,2.5106,2.5348,0.9597,3.291,3.0,2.0,False
MG92,LSTM,1,3.9079,8.2388,3.8684,4.0408,0.7488,8.2388,3.0,2.0,False
MG92,iTransformer,1,5.0687,9.0674,5.1907,5.3534,0.6958,9.0674,3.0,2.0,False
MG92,GUMNet-Lite,1,4.7869,6.6552,5.4969,5.3941,0.8361,6.6552,3.0,2.0,False
MG92,GUMNet-Ultra,1,3.2216,4.6238,3.711,3.6464,0.9209,4.6238,3.0,2.0,False
MG92,ARIMAX,5,2.0785,3.5365,2.2262,2.217,0.9539,3.5365,3.0,2.0,False
MG92,SARIMA,5,3.5302,6.0751,3.8193,3.8605,0.864,6.0751,3.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,5,2.1031,3.5965,2.249,2.2346,0.952,3.5965,3.0,2.0,False
MG92,Ridge (Linear),5,2.966,4.8653,3.2649,3.2726,0.9121,4.8653,3.0,2.0,False
MG92,LightGBM,5,3.9137,6.2895,4.2887,4.398,0.8531,6.2895,3.0,2.0,False
MG92,LSTM,5,5.9278,11.2034,5.9383,6.3166,0.5365,11.2034,3.0,2.0,False
MG92,iTransformer,5,6.0287,11.9169,5.9959,6.3397,0.4756,11.9169,3.0,2.0,False
MG92,GUMNet-Lite,5,6.139,9.5516,6.8101,6.9581,0.6631,9.5516,3.0,2.0,False
MG92,GUMNet-Ultra,5,5.1415,10.981,5.2153,5.5791,0.5547,10.981,3.0,2.0,False
MG92,ARIMAX,10,2.4778,4.3016,2.6896,2.6695,0.9325,4.3016,5.0,2.0,False
MG92,SARIMA,10,4.5779,9.0315,4.8191,4.9834,0.7025,9.0315,5.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,10,2.7393,4.9908,2.9086,2.8669,0.9075,4.9908,5.0,2.0,False
MG92,Ridge (Linear),10,4.3477,8.3665,4.5676,4.5754,0.74,8.3665,5.0,2.0,False
MG92,LightGBM,10,5.6798,9.5206,6.1393,6.455,0.6634,9.5206,5.0,2.0,False
MG92,LSTM,10,6.7921,12.3258,6.9979,7.3684,0.4411,12.3258,5.0,2.0,False
MG92,iTransformer,10,8.4667,15.2074,8.4844,8.9961,0.1493,15.2074,5.0,2.0,False
MG92,GUMNet-Lite,10,9.1976,13.3778,10.0851,10.2705,0.3417,13.3778,5.0,2.0,False
MG92,GUMNet-Ultra,10,7.4863,12.5912,7.8241,8.1539,0.4168,12.5912,5.0,2.0,False
MG92,ARIMAX,15,3.0616,5.0345,3.3457,3.3086,0.9086,5.0345,5.0,2.0,False
MG92,SARIMA,15,5.696,11.7796,5.8105,6.1172,0.4994,11.7796,5.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,15,3.3175,5.996,3.5633,3.4835,0.8667,5.996,5.0,2.0,False
MG92,Ridge (Linear),15,6.1054,12.1924,6.1743,6.1765,0.4489,12.1924,5.0,2.0,False
MG92,LightGBM,15,7.7856,14.1721,7.9401,8.3491,0.2554,14.1721,5.0,2.0,False
MG92,LSTM,15,7.9732,14.8284,8.013,8.5671,0.1928,14.8284,5.0,2.0,False
MG92,iTransformer,15,9.4257,15.5103,9.7879,10.1518,0.1169,15.5103,5.0,2.0,False
MG92,GUMNet-Lite,15,9.2825,17.1831,9.3506,10.5096,-0.0838,17.1831,5.0,2.0,False
MG92,GUMNet-Ultra,15,6.6976,12.7164,6.984,7.3264,0.4064,12.7164,5.0,2.0,False
MG92,ARIMAX,20,3.3113,5.3705,3.6628,3.6079,0.8971,5.3705,5.0,2.0,False
MG92,SARIMA,20,6.6737,13.7535,6.7217,7.1716,0.3252,13.7535,5.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,20,3.9334,6.9365,4.2463,4.1466,0.8216,6.9365,5.0,2.0,False
MG92,Ridge (Linear),20,7.6999,15.53,7.6212,7.5174,0.1059,15.53,5.0,2.0,False
MG92,LightGBM,20,8.4419,14.9581,8.6525,9.0975,0.1706,14.9581,5.0,2.0,False
MG92,LSTM,20,8.1872,15.5881,8.1469,8.8367,0.1119,15.5881,5.0,2.0,False
MG92,iTransformer,20,11.7866,19.3046,12.2649,12.833,-0.362,19.3046,5.0,2.0,False
MG92,GUMNet-Lite,20,10.394,18.8552,10.3125,11.6777,-0.2993,18.8552,5.0,2.0,False
MG92,GUMNet-Ultra,20,9.0655,16.5846,9.1608,9.8076,-0.0052,16.5846,5.0,2.0,False
MG92,ARIMAX,30,3.7344,5.9135,4.1687,4.0867,0.878,5.9135,,2.0,False
MG92,SARIMA,30,8.1389,16.4301,8.0817,8.8372,0.0583,16.4301,,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,30,4.2474,7.5326,4.6102,4.4892,0.79,7.5326,,2.0,False
MG92,Ridge (Linear),30,9.3391,18.2715,9.2604,9.1262,-0.2353,18.2715,,2.0,False
MG92,LightGBM,30,9.1005,15.655,9.3918,9.8517,0.0931,15.655,,2.0,False
