horizon,best_epoch,test_MAPE_overall,val_MAPE_overall,MG95_MAPE,MG92_MAPE,DO 0.001%_MAPE,DO 0.05%_MAPE
1,39,2.0189,1.0635,1.8029,1.7824,2.2315,2.2587
5,21,4.6717,2.8572,4.0677,3.8936,5.2938,5.4317
10,6,7.102,4.084,5.5626,5.3988,8.6871,8.7596
15,5,9.1087,4.1383,7.0231,6.8851,11.2388,11.2878
20,4,10.8101,4.6892,8.4575,8.0228,13.3997,13.3604
30,3,12.0986,5.495,10.3153,9.8939,14.254,13.931
60,19,14.4126,6.0917,12.9849,12.2316,16.6298,15.8041
