Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
MG95,ARIMAX,1,1.429,2.8218,1.4608,1.4594,0.975
MG95,SARIMA,1,1.5108,3.0496,1.554,1.5528,0.9709
MG95,Jump-Gated ARIMAX-CatBoost,1,1.2571,2.6541,1.2615,1.2603,0.9779
MG95,Ridge (Linear),1,1.5422,3.0918,1.5056,1.52,0.97
MG95,LightGBM,1,2.2373,4.4299,2.1846,2.2346,0.9384
MG95,LSTM,1,5.9843,11.4414,5.6696,6.0943,0.5912
MG95,iTransformer,1,5.6016,12.5865,5.1134,5.5478,0.5053
MG95,GUMNet-Lite,1,4.6569,7.5992,4.901,4.9078,0.8197
MG95,GUMNet-Ultra,1,5.0225,8.9371,5.0241,5.0702,0.7506
MG95,ARIMAX,5,2.9528,5.6912,2.9436,2.9651,0.8992
MG95,SARIMA,5,3.7698,6.9018,3.8635,3.9068,0.8518
MG95,Jump-Gated ARIMAX-CatBoost,5,2.9059,5.573,2.8978,2.9199,0.9027
MG95,Ridge (Linear),5,3.725,6.9633,3.7086,3.7969,0.8481
MG95,LightGBM,5,5.7037,11.0689,5.3822,5.7495,0.6161
MG95,LSTM,5,8.9405,18.8529,8.1399,9.2275,-0.1078
MG95,iTransformer,5,6.5145,13.7655,6.0256,6.5304,0.4094
MG95,GUMNet-Lite,5,6.0206,11.7416,6.0159,6.4235,0.5703
MG95,GUMNet-Ultra,5,6.3817,11.7411,6.5163,6.6466,0.5703
MG95,ARIMAX,10,3.9917,8.275,3.9005,3.9918,0.7892
MG95,SARIMA,10,4.8785,10.2419,4.8296,5.0209,0.6771
MG95,Jump-Gated ARIMAX-CatBoost,10,3.923,8.1304,3.8435,3.9297,0.7929
MG95,Ridge (Linear),10,4.786,9.4208,4.7618,4.8853,0.7219
MG95,LightGBM,10,7.2375,15.8277,6.4773,7.2074,0.215
MG95,LSTM,10,7.0648,13.8234,6.8232,7.291,0.4067
MG95,iTransformer,10,8.0302,15.6424,7.5515,8.0912,0.2403
MG95,GUMNet-Lite,10,7.6604,13.3769,7.9035,8.0785,0.4444
MG95,GUMNet-Ultra,10,9.5365,13.8248,10.2536,10.1321,0.4066
MG95,ARIMAX,30,6.3903,13.0368,6.0585,6.3424,0.4995
MG95,SARIMA,30,8.5795,18.1748,8.0475,8.8457,0.0272
