Model,MAE,RMSE,MAPE(%),SMAPE(%),R2
(2) SAX/date-text/LTH hashing,1.3948,2.6748,1.4258,1.4271,0.9776
Jump-Gated ARIMAX-CatBoost (BASE),1.4063,2.7055,1.4347,1.4371,0.9771
(3) TDA (Star+Sequence),1.4119,2.7356,1.4403,1.4415,0.9765
(5) ENSEMBLE (stack),1.4147,2.7355,1.4414,1.4436,0.9766
ARIMAX (champion nb04),1.4277,2.8116,1.4595,1.4579,0.9752
(4) B-spline (auto),1.4323,2.7718,1.4554,1.4596,0.9759
(1) LSH analog residual,1.5314,2.9472,1.5743,1.5712,0.9728
