Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
DO 0.001%,ARIMAX,1,1.7624,4.9582,4.9582,1.303,1.3005,0.9788,3.0,2.0,False
DO 0.001%,SARIMA,1,2.2982,5.6437,5.6437,1.8125,1.8152,0.9726,3.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,1,1.8395,5.3678,5.3678,1.3105,1.3114,0.9751,3.0,2.0,False
DO 0.001%,Ridge (Linear),1,2.2791,5.8558,5.8558,1.7454,1.7703,0.9704,3.0,2.0,False
DO 0.001%,LightGBM,1,4.9505,15.1666,15.1666,3.1837,3.4423,0.8016,3.0,2.0,False
DO 0.001%,LSTM,1,8.4417,20.9506,20.9506,5.8422,6.346,0.6239,3.0,2.0,False
DO 0.001%,iTransformer,1,10.7427,28.1912,28.1912,7.1718,8.3291,0.319,3.0,2.0,False
DO 0.001%,GUMNet-Lite,1,7.2069,16.9636,16.9636,5.3686,5.6977,0.7534,3.0,2.0,False
DO 0.001%,GUMNet-Ultra,1,6.3211,16.1872,16.1872,4.5617,4.8493,0.7755,3.0,2.0,False
DO 0.001%,ARIMAX,5,4.1405,10.705,10.705,3.0954,3.0816,0.9022,3.0,2.0,False
DO 0.001%,SARIMA,5,5.5364,12.4687,12.4687,4.4235,4.4787,0.8673,3.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,5,4.0691,10.5614,10.5614,3.0417,3.0297,0.904,3.0,2.0,False
DO 0.001%,Ridge (Linear),5,5.7848,13.0468,13.0468,4.4425,4.6245,0.8535,3.0,2.0,False
DO 0.001%,LightGBM,5,8.7022,21.3817,21.3817,6.0917,6.7292,0.6065,3.0,2.0,False
DO 0.001%,LSTM,5,12.1717,27.2348,27.2348,8.9569,10.1221,0.3657,3.0,2.0,False
DO 0.001%,iTransformer,5,12.2526,30.4923,30.4923,8.4075,9.8104,0.205,3.0,2.0,False
DO 0.001%,GUMNet-Lite,5,11.9114,23.8026,23.8026,9.4911,10.5643,0.5155,3.0,2.0,False
DO 0.001%,GUMNet-Ultra,5,10.6436,24.5101,24.5101,7.877,8.4701,0.4863,3.0,2.0,False
DO 0.001%,ARIMAX,10,6.1822,15.6432,15.6432,4.587,4.5257,0.7934,5.0,2.0,False
DO 0.001%,SARIMA,10,8.5043,19.2986,19.2986,6.6333,6.7877,0.6856,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,10,6.1661,15.7888,15.7888,4.6064,4.5207,0.7855,5.0,2.0,False
DO 0.001%,Ridge (Linear),10,7.869,17.9425,17.9425,5.9908,6.3584,0.7229,5.0,2.0,False
DO 0.001%,LightGBM,10,12.3348,25.2616,25.2616,9.6813,10.8521,0.4508,5.0,2.0,False
DO 0.001%,LSTM,10,12.2105,28.3793,28.3793,8.6331,9.8689,0.3143,5.0,2.0,False
DO 0.001%,iTransformer,10,15.655,34.1816,34.1816,11.297,13.3405,0.0052,5.0,2.0,False
DO 0.001%,GUMNet-Lite,10,13.2979,29.5363,29.5363,10.174,11.6625,0.2573,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,10,11.8093,25.7394,25.7394,9.1895,9.889,0.4359,5.0,2.0,False
DO 0.001%,ARIMAX,15,8.0346,18.8971,18.8971,5.8621,5.8406,0.7018,5.0,2.0,False
DO 0.001%,SARIMA,15,11.1196,25.1598,25.1598,8.2634,8.6664,0.4714,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,15,8.0178,19.0413,19.0413,5.8477,5.7955,0.6886,5.0,2.0,False
DO 0.001%,Ridge (Linear),15,9.8286,22.5722,22.5722,7.3713,8.0011,0.5624,5.0,2.0,False
DO 0.001%,LightGBM,15,13.2244,28.6855,28.6855,9.9315,11.3296,0.2933,5.0,2.0,False
DO 0.001%,LSTM,15,14.5497,33.5546,33.5546,10.1942,11.8723,0.0435,5.0,2.0,False
DO 0.001%,iTransformer,15,14.2661,33.2363,33.2363,10.0086,11.6281,0.0615,5.0,2.0,False
DO 0.001%,GUMNet-Lite,15,16.1429,33.5769,33.5769,12.5539,14.7328,0.0422,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,15,13.3066,29.0284,29.0284,10.4004,11.1806,0.2841,5.0,2.0,False
DO 0.001%,ARIMAX,20,9.3958,21.5928,21.5928,6.8389,6.8542,0.6148,5.0,2.0,False
DO 0.001%,SARIMA,20,13.4114,30.0799,30.0799,9.8433,10.4828,0.2525,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,20,9.1731,21.1949,21.1949,6.7246,6.7368,0.6142,5.0,2.0,False
DO 0.001%,Ridge (Linear),20,11.3467,26.3776,26.3776,8.4599,9.2799,0.4025,5.0,2.0,False
DO 0.001%,LightGBM,20,13.1651,31.5113,31.5113,9.1517,10.6705,0.1473,5.0,2.0,False
DO 0.001%,LSTM,20,15.4629,31.9659,31.9659,11.8088,13.479,0.1355,5.0,2.0,False
DO 0.001%,iTransformer,20,17.6049,36.9128,36.9128,13.2513,14.8072,-0.1527,5.0,2.0,False
DO 0.001%,GUMNet-Lite,20,15.1862,35.52,35.52,10.6714,12.7465,-0.0674,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,20,14.5665,33.5723,33.5723,10.5906,12.2534,0.0465,5.0,2.0,False
DO 0.001%,ARIMAX,30,10.0374,22.2404,22.2404,7.3683,7.7068,0.5999,,2.0,False
