Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
DO 0.05%,ARIMAX,1,2.2261,5.6487,1.7607,1.7616,0.9691
DO 0.05%,SARIMA,1,2.2844,5.6634,1.8338,1.8351,0.969
DO 0.05%,Jump-Gated ARIMAX-CatBoost,1,1.9925,5.3944,1.5225,1.523,0.9718
DO 0.05%,Ridge (Linear),1,2.3581,6.1573,1.825,1.8582,0.9632
DO 0.05%,LightGBM,1,4.6191,14.2192,3.0947,3.3243,0.804
DO 0.05%,LSTM,1,9.4481,24.2919,6.5437,7.3835,0.4316
DO 0.05%,iTransformer,1,10.4571,27.6063,7.2831,8.4194,0.2659
DO 0.05%,GUMNet-Lite,1,10.8988,29.7595,7.2337,8.5364,0.1469
DO 0.05%,GUMNet-Ultra,1,6.5926,15.5322,4.9988,5.1152,0.7676
DO 0.05%,ARIMAX,5,4.8476,12.4979,3.6893,3.6826,0.8502
DO 0.05%,SARIMA,5,5.6198,13.1982,4.5384,4.5665,0.8329
DO 0.05%,Jump-Gated ARIMAX-CatBoost,5,4.6942,12.2478,3.5254,3.5415,0.8549
DO 0.05%,Ridge (Linear),5,6.3671,15.1175,4.7595,5.0624,0.7789
DO 0.05%,LightGBM,5,11.2502,26.0953,8.2308,9.3529,0.3412
DO 0.05%,LSTM,5,10.4104,26.6446,7.3489,8.3771,0.3176
DO 0.05%,iTransformer,5,12.9316,29.2987,9.64,11.0914,0.1749
DO 0.05%,GUMNet-Lite,5,9.3776,23.7709,6.8043,7.6187,0.4569
DO 0.05%,GUMNet-Ultra,5,9.3805,21.5397,7.377,7.9763,0.554
DO 0.05%,ARIMAX,10,7.308,18.4134,5.4545,5.4629,0.6782
DO 0.05%,SARIMA,10,8.6226,19.9931,6.7766,6.8889,0.6207
DO 0.05%,Jump-Gated ARIMAX-CatBoost,10,7.2547,18.3871,5.386,5.4338,0.6729
DO 0.05%,Ridge (Linear),10,8.2447,19.4802,6.1808,6.6634,0.6329
DO 0.05%,LightGBM,10,15.9992,32.7699,12.4118,14.5339,-0.0389
DO 0.05%,LSTM,10,13.056,32.9614,9.1367,10.9523,-0.0398
DO 0.05%,iTransformer,10,14.3801,32.9099,10.4053,12.3246,-0.0365
DO 0.05%,GUMNet-Lite,10,12.493,25.6575,10.2723,11.2618,0.37
DO 0.05%,GUMNet-Ultra,10,14.9175,26.5159,12.8004,12.537,0.3271
DO 0.05%,ARIMAX,30,11.7441,27.9128,8.4492,9.1421,0.2914
DO 0.05%,SARIMA,30,14.5615,33.4446,10.7751,12.0487,-0.0173
DO 0.05%,Jump-Gated ARIMAX-CatBoost,30,11.6284,27.6798,8.4616,9.1065,0.262
DO 0.05%,Ridge (Linear),30,13.346,30.7417,10.1548,11.2589,0.0896
DO 0.05%,LightGBM,30,13.6242,33.7791,9.4662,11.3141,-0.0991
DO 0.05%,LSTM,30,16.1499,32.5377,12.9849,14.2227,-0.0047
DO 0.05%,iTransformer,30,18.8719,37.7993,15.0368,16.5724,-0.3559
DO 0.05%,GUMNet-Lite,30,16.9099,35.9687,12.7752,15.2648,-0.2278
DO 0.05%,GUMNet-Ultra,30,14.1986,32.3249,10.7076,12.3587,0.0084
DO 0.05%,ARIMAX,60,13.1764,29.0999,9.6272,10.819,0.2753
DO 0.05%,SARIMA,60,17.5057,38.1268,12.7506,15.0811,-0.2441
DO 0.05%,Jump-Gated ARIMAX-CatBoost,60,12.5164,28.6092,9.2218,10.4653,0.2167
DO 0.05%,Ridge (Linear),60,15.3138,35.4801,11.1671,13.1354,-0.2048
DO 0.05%,LightGBM,60,17.4283,38.089,13.2957,15.3596,-0.3884
DO 0.05%,LSTM,60,20.1921,39.6971,16.136,18.4392,-0.4761
DO 0.05%,iTransformer,60,23.8615,42.6742,20.146,22.4604,-0.7058
DO 0.05%,GUMNet-Lite,60,16.1622,36.9267,11.6382,14.1388,-0.2772
DO 0.05%,GUMNet-Ultra,60,20.2311,42.3774,15.4484,18.8487,-0.6821
