Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
MG92,ARIMAX,1,0.931,1.8569,1.8569,0.9863,0.9839,0.9872,3.0,2.0,True
MG92,SARIMA,1,1.4796,2.8648,2.8648,1.5881,1.5886,0.9695,3.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,1,1.0313,2.5651,2.5651,1.0464,1.0451,0.9755,3.0,2.0,False
MG92,Ridge (Linear),1,1.3349,2.5724,2.5724,1.4607,1.4609,0.9754,3.0,2.0,False
MG92,LightGBM,1,2.1006,3.142,3.142,2.3992,2.419,0.9633,3.0,2.0,False
MG92,LSTM,1,4.7638,9.2714,9.2714,5.0091,5.2553,0.6819,3.0,2.0,False
MG92,iTransformer,1,5.2302,10.8227,10.8227,5.0531,5.3642,0.5666,3.0,2.0,False
MG92,GUMNet-Lite,1,3.9582,6.6711,6.6711,4.3487,4.4396,0.8353,3.0,2.0,False
MG92,GUMNet-Ultra,1,5.2394,7.3058,7.3058,5.903,5.7817,0.8025,3.0,2.0,False
MG92,ARIMAX,5,2.0078,3.3052,3.3052,2.1732,2.1657,0.9597,3.0,2.0,False
MG92,SARIMA,5,3.5302,6.0751,6.0751,3.8193,3.8605,0.864,3.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,5,2.0219,3.3519,3.3519,2.184,2.1734,0.9583,3.0,2.0,False
MG92,Ridge (Linear),5,3.523,6.3812,6.3812,3.7927,3.7779,0.8488,3.0,2.0,False
MG92,LightGBM,5,3.822,6.1798,6.1798,4.2579,4.3465,0.8582,3.0,2.0,False
MG92,LSTM,5,6.3229,10.8386,10.8386,6.606,6.8725,0.5662,3.0,2.0,False
MG92,iTransformer,5,6.5933,13.2276,13.2276,6.4731,6.97,0.3539,3.0,2.0,False
MG92,GUMNet-Lite,5,8.9697,11.9427,11.9427,10.465,9.9484,0.4733,3.0,2.0,False
MG92,GUMNet-Ultra,5,5.7116,8.9256,8.9256,6.3344,6.2769,0.7058,3.0,2.0,False
