Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
DO 0.001%,ARIMAX,1,1.8254,5.0608,5.0608,1.3405,1.3372,0.978,3.0,2.0,False
DO 0.001%,SARIMA,1,2.2982,5.6437,5.6437,1.8125,1.8152,0.9726,3.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,1,1.8565,5.4725,5.4725,1.3212,1.3226,0.9742,3.0,2.0,False
DO 0.001%,Ridge (Linear),1,2.2225,5.8475,5.8475,1.6843,1.7019,0.9705,3.0,2.0,False
DO 0.001%,LightGBM,1,4.87,14.9837,14.9837,3.1162,3.3651,0.8064,3.0,2.0,False
DO 0.001%,LSTM,1,10.1714,23.7793,23.7793,7.2438,8.0896,0.5154,3.0,2.0,False
DO 0.001%,iTransformer,1,11.0429,29.1133,29.1133,7.3281,8.5524,0.2737,3.0,2.0,False
DO 0.001%,GUMNet-Lite,1,8.216,19.4382,19.4382,5.8008,5.9533,0.6762,3.0,2.0,False
DO 0.001%,GUMNet-Ultra,1,7.8684,18.4761,18.4761,5.9647,6.2068,0.7075,3.0,2.0,False
DO 0.001%,ARIMAX,5,4.0845,10.4944,10.4944,3.0455,3.0342,0.906,3.0,2.0,False
DO 0.001%,SARIMA,5,5.5364,12.4687,12.4687,4.4235,4.4787,0.8673,3.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,5,4.0435,10.3462,10.3462,3.0104,3.0102,0.9079,3.0,2.0,False
DO 0.001%,Ridge (Linear),5,6.0517,13.5274,13.5274,4.6336,4.7979,0.8425,3.0,2.0,False
DO 0.001%,LightGBM,5,8.4868,21.0444,21.0444,5.943,6.5334,0.6188,3.0,2.0,False
DO 0.001%,LSTM,5,11.6011,26.7344,26.7344,8.3626,9.4224,0.3888,3.0,2.0,False
DO 0.001%,iTransformer,5,12.8827,31.5703,31.5703,8.8271,10.3742,0.1477,3.0,2.0,False
DO 0.001%,GUMNet-Lite,5,13.4475,29.9399,29.9399,9.6075,11.1481,0.2335,3.0,2.0,False
DO 0.001%,GUMNet-Ultra,5,10.0314,24.6976,24.6976,7.2186,8.1374,0.4784,3.0,2.0,False
DO 0.001%,ARIMAX,10,6.1041,15.4137,15.4137,4.5303,4.4751,0.7994,5.0,2.0,False
DO 0.001%,SARIMA,10,8.5043,19.2986,19.2986,6.6333,6.7877,0.6856,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,10,6.0451,15.429,15.429,4.4934,4.43,0.7951,5.0,2.0,False
DO 0.001%,Ridge (Linear),10,8.4566,18.8778,18.8778,6.4856,6.8225,0.6933,5.0,2.0,False
DO 0.001%,LightGBM,10,10.7875,24.87,24.87,7.8402,8.7905,0.4677,5.0,2.0,False
DO 0.001%,LSTM,10,12.6467,29.0079,29.0079,9.1023,10.4447,0.2836,5.0,2.0,False
DO 0.001%,iTransformer,10,13.9345,32.3088,32.3088,9.7459,11.324,0.1113,5.0,2.0,False
DO 0.001%,GUMNet-Lite,10,11.6604,27.2569,27.2569,8.4299,9.2575,0.3675,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,10,10.9302,25.2203,25.2203,7.9464,8.6529,0.4585,5.0,2.0,False
DO 0.001%,ARIMAX,15,7.9829,18.7374,18.7374,5.809,5.7904,0.7068,5.0,2.0,False
DO 0.001%,SARIMA,15,11.1196,25.1598,25.1598,8.2634,8.6664,0.4714,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,15,7.8472,18.4948,18.4948,5.7367,5.7149,0.7062,5.0,2.0,False
DO 0.001%,Ridge (Linear),15,10.6432,23.9325,23.9325,7.9589,8.5564,0.5081,5.0,2.0,False
DO 0.001%,LightGBM,15,12.2956,28.2171,28.2171,8.8768,10.1058,0.3162,5.0,2.0,False
DO 0.001%,LSTM,15,14.7295,34.5974,34.5974,10.3598,12.3198,-0.0169,5.0,2.0,False
DO 0.001%,iTransformer,15,14.5849,33.3874,33.3874,10.4162,12.0391,0.053,5.0,2.0,False
DO 0.001%,GUMNet-Lite,15,12.8222,28.817,28.817,9.8093,10.8312,0.2945,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,15,11.777,27.7824,27.7824,8.7695,9.5727,0.3443,5.0,2.0,False
DO 0.001%,ARIMAX,20,9.3375,21.5095,21.5095,6.7782,6.7943,0.6178,5.0,2.0,False
